timestamp,src_ip,dest_ip,ioc_hits,ml_score
2025-12-29T00:31:01.083094+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083097+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083101+0200,10.0.2.15,142.250.180.142,1,1.0
2025-12-29T00:31:01.083105+0200,10.0.2.15,142.250.180.142,1,1.0
2025-12-29T00:31:01.083109+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:31:01.083113+0200,10.0.2.15,20.189.173.10,1,1.0
2025-12-29T00:31:01.083117+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083123+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083127+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083131+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083134+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083138+0200,10.0.2.15,91.189.91.113,1,1.0
2025-12-29T00:31:01.083142+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083146+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083150+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083154+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:31:01.083159+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087581+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087620+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087641+0200,10.0.2.15,142.251.140.110,1,1.0
2025-12-29T00:31:01.087646+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087650+0200,10.0.2.15,74.125.193.84,1,1.0
2025-12-29T00:31:01.087655+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087658+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087662+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087672+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087676+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.087679+0200,10.0.2.15,142.250.181.163,1,1.0
